"DisplayName","AverageScore"
Jeremy Ruten,26
Korbin,6
mookid8000,5
gehsekky,6
FrancisR,5
Steve Claridge,4
Zach Silvey,0
Iván Trujillo,1
ZhaoSheng,0
Richard Alan,6
sgmitchell,0
LeChe,2
user479363,2
Randy the Dev,10
smalltowndev,0
Shahzad Ali,0
burtonposey,0
dln385,25
Brian Hollister,2
Nick Sweet,4
Maxotaur,1
poshaughnessy,5
Leo Izen,1
David Daniel,0
dennismonsewicz,18
NeedAgileNow,5
user290145,6
Jeff C.,1
kudzai,0
CJBrew,7
fdqepd,1
bhefny,2
Bret Kuhns,1
Reversed,0
khalifavi,0
MrEdmundo,3
Ben Runchey,1
Farzy,7
coson,5
erik.wiffin,7
Jesse Collins,0
Mapad,16
Jonathan Hess,5
Vijay Patel,14
Silent,3
Angeline,1
progician,1
user1715122,-1
I. M. McIntosh,118
Madao,0
Simon17,0
kaspr,0
timmywil,1
rfeak,3
icecrime,7
Manas Babu,3
Gan Juan Yao,1
peo,1
frazzle,0
Jake McCrary,3
dennisyuan,0
Salena,0
robodasha,2
raju-bitter,1
Ruben Restrepo,0
delmet,1
Instal,0
Manfred R. Koethe,4
Andreas Krueger,2
ooOOoo,1
Marian André,0
carl-lopez,0
theMikeSwan,2
Türker Php Coder,1
David Doria,3
Alexandru Circus,36
bhagwat,1
madrat,2
annavt,16
user204566,2
Krzysztof Bujniewicz,1
Matty F,3
Nicolas Riou,2
Dan Dietterich,3
mikek,2
vanden,7
jot,1
David Tinker,4
Doraiswamy,1
user196196,0
Nic,8
Won Jun Bae,14
encee,14
Marius Andersen,9
Wyatt Barnett,1
flawlesslyfaulted,1
Jon Erik Ween,0
user498151,2
sammville,1
Alexey Rusakov,4
aden,10
Andria Jones,2
Spencer Tipping,2
jgua1,3
Amemiya,0
Smokie,2
csbourne,27
Fravio,3
Morgan Martinet,0
chill,1
Vijay Kansal,1
guiding5,3
pure841,0
user347551,0
Danny Sinang,4
markfickett,10
jkiv,0
Tom van der Woerdt,2
Michael Mullany,3
csc,2
Alloi,8
wefwgeweg,5
ajcw,3
Diana Villafane,2
JayDial,1
Berny Paul,0
Korneel Bouman,3
Chente,1
user251264,0
igorbel,2
Jamie Dixon,5
andres descalzo,1
diana,1
realcheesypizza,0
Ramji,5
Matt Calthrop,0
TJR,3
Doug Kavendek,9
drinian,2
neilprosser,241
Andrew Stapleton,24
Casey Fleser,20
Seecott,1
user494298,0
T Powers,9
Arnon Axelrod,6
kaharas,1
glarrain,3
Venkatesan Vaidhyanathan,0
Varmint Cong,0
yihang,0
Grigori Kochanov,0
Steven Raines,0
Markus Giera,0
user9282,7
Kosta,3
Justin Obney,8
Piko,6
Julian Simpson,1
BlackMael,4
user525362,12
Chielus,0
Nari,2
user558773,0
HaavardMeling,6
ricfow,2
Petr Šigut,0
maxum,0
martinezdelariva,1
sjd,2
meanandvicious,0
Trey Keown,4
kateroh,1
Keith Schacht,2
Nemanja Vrndic,0
ikp,6
DeChamp,0
vsdev,0
ScottyDoesKnow,1
user361050,0
dpezzatini,0
MattPII,0
Murdoch,1
rebor,3
Vishwa Kumar,1
Anatali,0
Toby Bush,3
"585connor",29
yamad,5
Xav,1
shibu,1
Seva Alekseyev,4
hnsr,1
Ascher,9
boogie,1
Critical Skill ,2
Paul D.,6
user79878,0
Will Morgan,9
alexeypro,6
Ryan McGeary,151
Eliram,2
Jaymz,4
pyon,3
Scott Munro,2
Lewie,8
TutuGeorge,0
user579951,0
bpa,1
Darren Beck,2
baloch,0
Xrth,0
ChOm,0
Scott Norberg,4
İbrahim ULUDAĞ,0
jmiedzinski,0
Dread,46
JSosa23,1
Toliy,0
Patashu,2
Roose,1
user421678,2
AttackingHobo,0
Quasiuna,1
mweppler,0
eXp,1
umer sufyan,0
debraj,2
user302183,0
Jason Langenauer,0
c4learn.com,0
fd_dev,2
BobK,2
Gary H,2
cold-gin,0
peter3,0
user287373,1
Arsenio Siani,7
david milliken,0
user243871,0
Abruzzo Forte e Gentile,5
user249331,2
RogerD,1
Sharpedia,3
isayno,37
ibread,8
Janci,15
hansu,0
Eric Rasanayagam,0
Daave311,0
Steve Wranovsky,4
username,56
user24640,5
devth,2
berkes,3
Alexander Kellett,1
mega.venik,0
John xyz,0
Nithesh Hebri,2
Vov4a,0
Klimov Ilya,2
giginos,1
Emanuel Varga,1
Flethuseo,5
duckah,0
Jakozaur,2
Amnoid,2
Samizdis,2
Max Schulze,1
bigjava,0
Sachin Midha,1
surajz,3
MightyE,2
user217137,0
catchmeifyoutry,3
andybauer,3
Padmarag,4
Sopolin,1
Jon Colverson,10
Serafeim,2
Roboblob,8
Keith John Hutchison,0
Copter,1
Bernie Perez,18
chgman,9
Paciv,1
Null Route,15
ak3nat0n,1
Rocketmagnet,11
patoma16,0
varilight,0
Jan Kuei Yang,0
jenses,2
aguynamedloren,4
MirekE,0
user535475,0
Pham Hong Nghiep,1
daviceitor,2
Kimonoki,0
P O'Conbhui,1
kei30,5
Adler,1
errant.info,2
John Rennie,3
Richard E Cotton,1
dasnervtdoch,1
Lozano,2
Ritesh Tendulkar,88
Beo,1
arriflex,1
s2lk3n42lk34,1
Typen,0
Liviu Trifoi,14
calebbrown,9
Sam Kington,4
Cugel,7
Manny O.,0
Michael Roberts,6
Jeremiah Burley,13
brutustea,95
weedogt,2
Christopher Jacobsen,0
user506290,11
Tka Lex,0
sandeep agrawal,0
tonklon,4
yorami,0
Michael McGowan,1
user396636,0
Yulia,0
RIRedinPA,1
kubas,166
Nilbert,6
"341008",11
Rui Jiang,3
User3419,6
